ID,Inscription,Date,Date Strength,Inscription Type,Object Type,Altered,Visuals,Text Format,Sponsor Type,Honorand Type
274,SB for a Tamias,-62,Good,Dedication,Base,,,Standard,Public Organ(s),Official
275,"SB for Medeios Medeiou Peiraieus, Exegete of Eumolpidai",-60,Good,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
276,SB for T. Pinarios,-50,Good,Dedication,Base,,,Standard,Public Organ(s),Foreign
277,"SB for Sophokles Xenokleous Acharneus, Daduch",-50,Approximate,Dedication,Base,,,Standard,Private,Sacred Official
278,"SB for Sophokles Xenokleous Acharneus, Daduch 2",-50,Good,Dedication,Base,,,Standard,Private,Sacred Official
279,Statue Base for Unknown,-50,Good,Dedication,Base,,,Standard,,
280,Statue Base for Kleo Dionysiou Lakrateidou Ikarieus,-50,Good,Dedication,Base,,,Standard,Public Organ(s),Other/Private
281,Statue Base for Unknown,-50,Good,Dedication,Base,,,Standard,,
282,SB for an HI,-50,Weak,Dedication,Base,,,Standard,Public Organ(s),Hearth-Initiate
283,SB for an HI,-50,Weak,Dedication,Base,,,Standard,Public Organ(s),Hearth-Initiate
284,SB for Unknown,-50,Weak,Dedication,Base,,,Standard,,
285,SB for Daduch of Hagnous,-25,Weak,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
286,SB for Dionysios Athenagorou Meliteus,-37,Good,Dedication,Base,,,Standard,Public Organ(s),Other/Private
287,SB for Aion,-32,Approximate,Dedication,Base,,,Standard,Roman/Imperial/Panhellenic,Divinity
288,SB for Hierophantis Amphiou Philadou,-32,Approximate,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
289,SB for L. Munatius Plancus,-40,Good,Dedication,Base,,,Standard,Public Organ(s),Foreign
290,Propylon dedicated by Ap. Claudius Pulcher,-40,Good,Dedication,Building or Monument,,,Standard,Roman/Imperial/Panhellenic,
291,SB for Phaidros Lysiadou Berenikides & more,-40,Good,Dedication,Base,,,Standard,Public Organ(s),Other/Private
292,SB for Sempronia L.F. Atratina,-40,Good,Dedication,Base,,,Standard,Public Organ(s),Foreign
293,Bench dedicated by C. Creperius C.F.,-40,Good,Dedication,Other/Fragment,,,Standard,Roman/Imperial/Panhellenic,
294,SB for M. Titius L.F.,-35,Good,Dedication,Base,,,Standard,,Foreign
295,"SB for Kallikratides Syndromou Trikorysios, Hoplite General",-32,Good,Dedication,Base,,,Standard,Public Organ(s),Official
296,Monument with status of Augustus and Livia,-30,Good,Dedication,Building or Monument,,,Standard,Public Organ(s),Imperial Family
297,SB for Augustus Caesar as Zeus Boulaios,-25,Good,Dedication,Base,,,Standard,Private,Imperial Family
298,"SB for Theophrastos Themistokleous Hagnousios, Daduch",-25,Good,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
299,"SB for Lamidion daughter of Apolexis ex Oiou, Heath-Initiate",-25,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
300,"Decree in Honor of Themistokles Theophrastou Hagnousios, Daduch",-20,Good,Decree,Stele,,,Standard,Public Organ(s),Sacred Official
301,SB for four members of the daduchic family from Hagnous,-20,Good,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
302,"SB for an HI, son of Themistokles Hagnousios",-20,Approximate,Dedication,Base,,,Standard,Public Organ(s),Hearth-Initiate
303,Statue Base?,-20,Weak,Dedication,Base,,,Standard,,
304,SB signed by Antiochos son of Demetrios of Antioch,-20,Weak,Dedication,Base,,,Standard,,
305,SB for Polyainos Nikandrou Sounieus,-20,Weak,Dedication,Base,,,Standard,Public Organ(s),Other/Private
306,"Altar for Kourotrophos, dedicated by Theophile",-50,Poor,Dedication,Altar,,,Standard,Private,
307,"SB for Diotima, HI",-50,Poor,Dedication,Base,,,Standard,,Hearth-Initiate
308,SB for Diodotos Kalliphontos Pambotades,-50,Poor,Dedication,Base,,,Standard,Public Organ(s),Other/Private
309,SB signed by Sosibios,-50,Poor,Dedication,Base,,,Standard,,
310,Law/Epistle?,50,Unusable Dating,Other/Fragment,Other/Fragment,,,Standard,,
311,Letter or Decree,50,Unusable Dating,Other/Fragment,Other/Fragment,,,Standard,,
312,SB for Dionysios son of Dionysios,50,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),Other/Private
313,SB dedicated by or for an exegete,50,Unusable Dating,Dedication,Base,,,Standard,,
314,Statue Base for Unknown,50,Unusable Dating,Dedication,Base,,,Standard,,
315,Decree?,50,Unusable Dating,Other/Fragment,Other/Fragment,,,Standard,,
316,Statue Base for Unknown,50,Unusable Dating,Dedication,Base,,,Standard,,
317,SB for an HI,1,Unusable Dating,Dedication,Base,,,Standard,Private,Hearth-Initiate
318,SB for an HI,50,Unusable Dating,Dedication,Base,,,Standard,Private,Hearth-Initiate
319,SB for an HI,50,Unusable Dating,Dedication,Base,,,Standard,Private,Hearth-Initiate
320,Dedication?,100,Unusable Dating,Other/Fragment,Other/Fragment,,,Standard,,
321,Statue Base?,100,Unusable Dating,Other/Fragment,Base,,,Standard,,
322,Statue Base for Unknown,100,Unusable Dating,Dedication,Base,,,Standard,,
323,"SB for Atheno Niketou Hagnousiou, HI",1,Weak,Dedication,Base,,,Standard,Public Organ(s),Hearth-Initiate
324,"SB for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai",20,Approximate,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
325,SB for a Hierophantis,20,Weak,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
326,Statue Base for Unknown,20,Weak,Dedication,Base,,,Standard,Public Organ(s),
327,SB for Antamenes Leontichou Epieikides,20,Weak,Dedication,Base,,,Standard,Public Organ(s),Other/Private
328,Altar for Kourotrophos,20,Weak,Dedication,Altar,,,Standard,Private,Sacred Official
329,"SB for an HI, daughter of Polycharmos of Azenia",1,Approximate,Dedication,Base,,,Standard,Public Organ(s),Hearth-Initiate
330,SB for Polycharmos Polykritou Azenieus,1,Approximate,Dedication,Base,,,Standard,Public Organ(s),
331,SB for Emperor Tiberius,25,Approximate,Dedication,Base,,,Standard,Private,Imperial Family
332,Statue Base?,34,Approximate,Other/Fragment,Base,,,Standard,,
333,SB for Menandros Asklepiodotou Gargettios,20,Good,Dedication,Base,,,Standard,Private,Sacred Official
334,Monument for Emperor Tiberius,25,Good,Dedication,Building or Monument,,,Standard,Public Organ(s),Imperial Family
335,Monument for Iulia Augusta,25,Good,Dedication,Building or Monument,,,Standard,Public Organ(s),Imperial Family
336,SB for Priest of Tiberius & Exegete of Eumolpidai,25,Good,Dedication,Base,,,Standard,Private,Sacred Official
337,SB for exegete of Eumolpidai,25,Good,Dedication,Base,,,Standard,,Sacred Official
338,SB for Unknown,25,Good,Dedication,Base,,,Standard,,
339,SB for Unknown,37,Approximate,Dedication,Base,,,Standard,,
340,SB for Unknown,37,Approximate,Dedication,Base,,,Standard,Public Organ(s),
341,Epistyle of Building dedicated by the Priestess Kleo Eukleous of Phyla,45,Approximate,Dedication,Building or Monument,,,Standard,Private,
342,Monument dedicated by(?) Priestess Kleo Eukleous of Phyla,45,Approximate,Dedication,Building or Monument,,,Standard,Private,
343,SB dedicated by Priestess Kleo Eukleous of Phyla,45,Approximate,Dedication,Base,,,Standard,Private,
344,"SB for Polycharmos Eukleous Marathonios, High-Priest of Tiberius",34,Good,Dedication,Base,,,Standard,Private,Sacred Official
345,SB for T. Statilius Lamprias,43,Good,Dedication,Base,,,Standard,Public Organ(s),Foreign
346,SB dedicated by Kleopatra Iophontos Deiradiotou,50,Approximate,Dedication,Base,,,Standard,Private,
347,SB for P. Papinius Statius,50,Approximate,Dedication,Base,,,Standard,Public Organ(s),Foreign
348,SB for Diokles Themistokleous Hagnousios,50,Approximate,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
349,SB for Athenais daughter of Diokles Hagnousios,50,Approximate,Dedication,Base,,,Standard,Public Organ(s),Other/Private
350,SB for M. Porcius Cato,50,Approximate,Dedication,Base,,,Standard,,Foreign
351,"SB for Seilon Apolloniou Meliteus, HI",50,Weak,Dedication,Base,,,Standard,Public Organ(s),Hearth-Initiate
352,SB for C. Caecilius Kasios Acharneus,50,Weak,Dedication,Base,,,Standard,Public Organ(s),Other/Private
353,SB for daughter of Statilius of Sphettos,50,Weak,Dedication,Base,,,Standard,Public Organ(s),Other/Private
354,"Architrave with dedication by T. Klaudius Eukles Sostratou, Priest of Iulia Agrippina Sebaste",55,Good,Dedication,Base,,,Standard,Private,
355,SB for brother of priest T. Claudius Eukles Sostratou,55,Good,Dedication,Base,,,Standard,Private,Other/Private
356,SB for T. Claudius Nouios Philinou of Oion,55,Good,Dedication,Base,,,Standard,,Hearth-Initiate
357,SB for T. Claudius Demostratos T. Claudii Neikotelous,55,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
358,SB for Claudius Asklepiodoros Gargettios,55,Good,Dedication,Base,,,Standard,,Official
359,SB| Exegete,75,Weak,Dedication,Base,,,Standard,,Sacred Official
360,Contract| Julias Nikanor,60,Approximate,Financial,Stele,,,Standard,,
361,SB| T. Kl. Nouios of Oion(?),60,Good,Dedication,Base,,,Standard,,Sacred Official
362,"SB| Iulios Nikanor, New Homer&Themistokles",60,Approximate,Dedication,Base,,,Standard,Public Organ(s),Foreign
363,Entablature,99,Weak,Dedication,Building or Monument,,,Standard,Roman/Imperial/Panhellenic,
364,"SB| Claudia Alkia d. of T. Kl. Hipparkhos Marathonios, HI",65,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
365,"SB| T. Fl. Sophokles T. Flavii Kononos Sounieus, HI",75,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
366,SB| T. Fl. Konon Kononos Sounieus,77,Good,Dedication,Base,,,Standard,Private,Other/Private
367,SB| T. Fl. Sophokles Kononos Sounieus,77,Good,Dedication,Base,,,Standard,Private,Other/Private
368,SB| Unknown,77,Approximate,Dedication,Base,,,Standard,,
369,"Building - Claudia Tartarion, Priestess of D&K",77,Approximate,Dedication,Building or Monument,,,Standard,Private,
370,"SB| P. Fulvius Metrodoros, HI",85,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
371,"SB| Klaudia Philoxena, Hierophantis",97,Good,Dedication,Base,,,Standard,Private,Sacred Official
372,SB| Unknown,97,Good,Dedication,Base,,,Standard,Public Organ(s),
373,"SB| G. Kl. Seilianos Polykritos, HI",97,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
374,SB| Zopyros Zopyrou Piraieos,97,Good,Dedication,Base,,,Standard,,Hearth-Initiate
375,SB| Unknown,97,Good,Dedication,Base,,,Standard,,
376,SB| Unknown,97,Approximate,Dedication,Base,,,Standard,,
377,SB| Wife of Ammonios of Kholleidai,80,Approximate,Dedication,Base,,,Standard,Private,Other/Private
378,SB| Eraton Eratonos Besaieus,50,Weak,Dedication,Base,,,Standard,Public Organ(s),Other/Private
379,SB dedicated by a priestess,50,Poor,Dedication,Base,,,Standard,Private,
380,"SB| Athenais, Granddaughter of a Hierophantis",50,Poor,Dedication,Base,,,Standard,,Sacred Official
381,SB| [-]ppos Herakleitou Gargettios,50,Poor,Dedication,Base,,,Standard,Public Organ(s),Other/Private
382,SB| Kl. Theophilos & Kl. S[-],50,Poor,Dedication,Base,,,Standard,,Other/Private
383,SB| T. Flavius,50,Poor,Dedication,Base,,,Standard,Public Organ(s),Foreign
384,"SB| L. Pompeios, HI",50,Poor,Dedication,Base,,,Standard,,Foreign
385,SB| L. Pompeios,50,Poor,Dedication,Base,,,Standard,,Foreign
386,SB signed by Agathokles (son of Agothokles) Kephisieus,50,Poor,Dedication,Base,,,Standard,,
387,Altar dedicated by daughter of Dionysios Phalereus,50,Poor,Dedication,Altar,,,Standard,Private,
388,SB| Unknown,50,Poor,Dedication,Base,,,Standard,,
389,SB| Son of Tryphon Phylasios,50,Poor,Dedication,Base,,,Standard,Public Organ(s),Other/Private
390,Altar dedicated to Artemis,50,Poor,Dedication,Altar,,,Standard,,Divinity
391,"SB| Unknown, HI",50,Poor,Dedication,Base,,,Standard,,Hearth-Initiate
392,Catalog?,100,Poor,Dedication,Base,,,Standard,,
393,"SB| Unknown, HI",100,Poor,Dedication,Base,,,Standard,,Hearth-Initiate
394,Dedication to Dionysios Lenaios,100,Poor,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
395,"SB| Unknown, HI",100,Poor,Dedication,Base,,,Standard,,Hearth-Initiate
396,"SB| Unknown, HI",100,Poor,Dedication,Base,,,Standard,Public Organ(s),Hearth-Initiate
397,SB| Unknown,100,Poor,Dedication,Base,,,Standard,Private,Other/Private
398,SB| Kourtia Stratonike,100,Poor,Dedication,Base,,,Standard,,Other/Private
399,SB| Kallisto d. of Kallimakhos,100,Poor,Dedication,Base,,,Standard,Private,Hearth-Initiate
400,Bomiskos for Iakkhos,100,Poor,Dedication,Altar,,,Standard,Private,Divinity
401,Bomiskos for Kourotrophos,100,Poor,Dedication,Altar,,,Standard,Private,Sacred Official
402,SB| Unknown,100,Poor,Dedication,Base,,,Standard,Public Organ(s),
403,SB| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,Private,
404,SB| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,Private,
405,SB?| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,,
406,SB| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,,
407,SB| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,,
408,Dedicatory Base,100,Unusable Dating,Dedication,Base,,,Standard,,
409,SB?| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,,
410,SB?| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
411,Monument,100,Unusable Dating,Other/Fragment,Building or Monument,,,Standard,,
412,SB| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,,
413,SB| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,,
414,"SB| Unknown, HI",100,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),Hearth-Initiate
415,SB| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,,
416,"SB| Unknown, HI",100,Unusable Dating,Dedication,Base,,,Standard,Private,Hearth-Initiate
417,SB?| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,,
418,SB| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,,
419,SB| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,,
420,SB?| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,,
421,SB| Unknown,100,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
422,SB| Unknown Emperor,100,Unusable Dating,Dedication,Base,,,Standard,,
423,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,Sacred Official
424,SB| Unknown Emperor(?),150,Unusable Dating,Dedication,Base,,,Standard,,Imperial Family
425,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
426,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
427,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),
428,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
429,"SB| Unknown, HI",150,Unusable Dating,Dedication,Base,,,Standard,,
430,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
431,"SB| Unknown, HI",150,Unusable Dating,Dedication,Base,,,Standard,Private,
432,Dedication by woman for her family,150,Unusable Dating,Dedication,Column/Herm,,,Standard,Private,Other/Private
433,SB| Hierophantis d. of Perikles of Oion & for T. Kl. Hierophantes Kallikratidou Trikorysios,120,Approximate,Dedication,Base,,,Standard,Private,Other/Private
434,SB signed by Sotas and [-],125,Approximate,Dedication,Base,,,Standard,Private,Other/Private
435,SB dedicated by Eumolpidai and Lykomidai,125,Approximate,Dedication,Base,,,Standard,Genos,
436,SB| Unknown,125,Approximate,Dedication,Base,,,Standard,,
437,SB?| Unknown,125,Approximate,Dedication,Base,,,Standard,,
438,SB| T. Kl. Attikos Herodes Klaudii Attikou Marathonios 'Son of Hellas',115,Good,Dedication,Base,,,Standard,Roman/Imperial/Panhellenic,Other/Private
439,SB| Agrius Saturninus,120,Good,Dedication,Base,,,Standard,Roman/Imperial/Panhellenic,
440,Dedicatory Base| Aelia Lysistrate,120,Good,Dedication,Base,,,Standard,Public Organ(s),Other/Private
441,"SB| Athenaios Athenaiou Phlyeus, HI",120,Good,Dedication,Base,,,Standard,Public Organ(s),Hearth-Initiate
442,"SB| T. Vipsanius [-] Flavianos Kephisieus, HI",133,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
443,SB| Son of Heroxenos of Marathon,137,Good,Dedication,Base,,,Standard,Private,Other/Private
444,Honors| G. Memmios Sabeinos Peisandros,127,Good,Dedication,Base,,,Standard,,Other/Private
445,SB| Thrasyllos of Kholleidai,130,Good,Dedication,Base,,,Standard,Private,Official
446,Altar dedicated to Hadrian,132,Good,Dedication,Altar,,,Standard,,Imperial Family
447,Altar dedicated by Akhaioi,135,Approximate,Dedication,Altar,,,Standard,Other,
448,Dedications on Two Roman Arches,137,Good,Dedication,Building or Monument,,,Standard,Roman/Imperial/Panhellenic,
449,Dedication of an Aqueduct by an Emperor,125,Weak,Dedication,Building or Monument,,,Standard,Roman/Imperial/Panhellenic,
450,Architrave,125,Weak,Other/Fragment,Building or Monument,,,Standard,,
451,Architrave,150,Unusable Dating,Other/Fragment,Building or Monument,,,Standard,,
452,Architrave,150,Unusable Dating,Other/Fragment,Building or Monument,,,Standard,,
453,SB| Deified Hadrian Panhellenios,145,Approximate,Dedication,Base,,,Standard,,Imperial Family
454,SB| Hierophantis d. of Demetrios,145,Approximate,Dedication,Base,,,Standard,Private,Sacred Official
455,"SB| L. Vipsanius Aiolion Phlyeus, Exegete of Eumolpidai",145,Good,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
456,"SB| Relative of L. Vipsanius Aiolion, Exegete of Eumolpidai",145,Good,Dedication,Base,,,Standard,,
457,Dedication by Samias,145,Approximate,Dedication,Base,,,Standard,Other,
458,"SB| Iunia [-] Melitine, d. of Iuniou Patron of Berenikidai, HI",145,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
459,"SB| Nummia Kleo, HI",147,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
460,SB| T. Kl. Attikos of Marathon,140,Approximate,Dedication,Base,,,Standard,,Other/Private
461,"SB| Annia Faustina, wife of Marcus Aurelius and other imperial family members",153,Good,Dedication,Base,,,Standard,,Imperial Family
462,"SB| Nummios Nigreinos, Sacred Herald",150,Good,Dedication,Base,,Relief (Initiates Marching on Base),Standard,,Sacred Official
463,SB| Menandra of Ephesos,150,Approximate,Dedication,Base,,,Standard,Other,Other/Private
464,SB| D. Iunius Menneas D. Iuniou Patronos Berenikides,150,Approximate,Dedication,Base,,,Standard,Private,Other/Private
465,"SB| Phirmos Gargettios, Hierophant",150,Weak,Dedication,Base,,,Standard,Private,Sacred Official
466,"SB| D. Iunius Peiraieus, Hierophant",150,Weak,Dedication,Base,,,Standard,Private,Sacred Official
467,"SB| HI, relative of daduch T. Kl. Lysiades",150,Weak,Dedication,Base,,,Standard,,Hearth-Initiate
468,SB| Aelius Praxagoras of Melite,150,Weak,Dedication,Base,,,Standard,,Sacred Official
469,SB| Unknown,150,Weak,Dedication,Base,,,Standard,,
470,SB| Klementiane d. of Arrian,175,Weak,Dedication,Base,,,Standard,,Other/Private
471,SB| Unknown Emperor,175,Weak,Dedication,Base,,,Standard,Private,Imperial Family
472,SB| Unknown Claudii of Melite,175,Weak,Dedication,Base,,,Standard,,Other/Private
473,"SB| Sergius Salvidienus Scipio Orfitus, Wife, and 2 Sons",155,Good,Dedication,Base,,,Standard,Public Organ(s),Foreign
474,"SB| P. Ael. Teimosthenes Berenikides s. of Ael. Zenon, HI",155,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
475,SB| Elpinike d. Herodes Atticus (HI),155,Good,Dedication,Base,,,Standard,,Hearth-Initiate
476,SB| Regilla wife of Herodes Atticus,160,Good,Dedication,Base,,,Standard,Private,Other/Private
477,"SB| T. Kl. Appios Ateilios Bradoua son of Kl. Herodes, HI",162,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
478,SB| Aelius Praxagoras Themistokleous Meliteus,165,Good,Dedication,Base,,,Standard,,Sacred Official
479,SB| Aelius Praxagoras Themistokles Meliteus,165,Good,Dedication,Base,,,Standard,,Sacred Official
480,"SB| son of P. Aelius Praxagoras Meliteus, HI",165,Good,Dedication,Base,,,Standard,,Hearth-Initiate
481,"SB| Flavius Xenion Marathonios, HI, and others",165,Approximate,Dedication,Base,,,Standard,,Hearth-Initiate
482,Altar(?) for the health of Marcus Aurelius and Lucius Verus,165,Good,Dedication,Altar,,,Standard,Private,Imperial Family
483,SB| T. Fl. Hierophantes Paianieus son of T. Fl. Alkibiades,165,Good,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
484,Poem for Herodes Attius NOT FROM SANCTUARY,162,Good,Other/Fragment,Base,,,Standard,,Other/Private
485,"SB| M. Aur. Miltiades son of Agathokles of Marathon, HI",165,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
486,SB| Savior God(desses) of the Brotherly Emperors,170,Good,Dedication,Base,,,Standard,Public Organ(s),Imperial Family
487,SB| T. Fl. Euthykomas Paianieus,167,Good,Dedication,Base,,,Standard,Public Organ(s),Other/Private
488,T. Fl. Menandros Paianieus,167,Good,Dedication,Base,,,Standard,Public Organ(s),Other/Private
489,Synhedrion & Prefect Severus on Eleusinian Endowment,170,Good,Other/Fragment,Base,,,Standard,Roman/Imperial/Panhellenic,
490,"SB| M. Iulius Apellas Marathonios, Archon of Eumolpidai",170,Good,Dedication,Base,,,Standard,Genos,Sacred Official
491,"SB| Flavius Xenion of Marathon, Archon of the Panhellenes",170,Good,Dedication,Base,,,Standard,Roman/Imperial/Panhellenic,Foreign
492,"SB| Iulius Theodotus Meliteus son of Sophist Iulius Theodotus, Archon of Kerykes",170,Good,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
493,"SB| Aelia Kephisodora, d. of Daduch Kl. Lysiades",170,Good,Dedication,Base,,,Standard,Public Organ(s),Other/Private
494,Herm in honor of Hierophant who saved Hiera during Costoboci invasion,171,Good,Dedication,Column/Herm,,,Standard,,Sacred Official
495,SB| Marcus Aurelius,174,Good,Dedication,Base,,,Standard,Private,Imperial Family
496,SB| Marcus Aurelius,176,Good,Dedication,Base,,,Standard,,Imperial Family
497,SB| Marcus Aurelius(?),176,Approximate,Dedication,Base,,,Standard,,Imperial Family
498,"SB| Asclepius, dedicated by Herodes",175,Good,Dedication,Base,,,Standard,Private,Divinity
499,SB| Dedicatory Inscription of Greater Propylaea,175,Good,Dedication,Building or Monument,,,Standard,Roman/Imperial/Panhellenic,
500,Block of Aedicula with Hierophant's Title,175,Good,Dedication,Building or Monument,,,Standard,,
501,"SB| Iunia Melitine, Hierophantis",187,Approximate,Dedication,Base,,,Standard,,Sacred Official
502,"SB| Isidote d. Isaios, Hierophantis",184,Good,Dedication,Base,,,Standard,Private,Other/Private
503,"SB| L. Memmius, Altar-Priest, of Thorikos",179,Good,Dedication,Base,,,Standard,Public Organ(s),Sacred Official
504,Base for Dedication from Aparkhe,184,Good,Dedication,Base,,,Standard,Private,
505,SB| Deified Marcus Aurelius,181,Good,Dedication,Base,,,Standard,,Imperial Family
506,SB| Lucilla d. of Marcus Aurelius,181,Good,Dedication,Base,,,Standard,,Imperial Family
507,"SB| Deified Faustina, Wife of Marcus Aurelius",181,Good,Dedication,Base,,,Standard,,Imperial Family
508,"SB| Deified Faustina, Wife of Marcus Aurelius",181,Good,Dedication,Base,,,Standard,,Imperial Family
509,"SB| Sabina, Daughter of Marcus Aurelius",181,Good,Dedication,Base,,,Standard,,Imperial Family
510,"SB| Faustina, d. of Marcus Aurelius",181,Good,Dedication,Base,,,Standard,,Imperial Family
511,"SB| Praxagora d. of Demostratos of Melite, HI",182,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
512,SB dedicated by Aelia Philiste,182,Good,Dedication,Base,,,Standard,Private,
513,Letter of Commodus to the Athenians,187,Good,Other/Fragment,Stele,,,Standard,Roman/Imperial/Panhellenic,
514,Catalog of Prytaneis of Antiochis,191,Good,Other/Fragment,Column/Herm,,,Standard,Other,
515,"SB| Hierophant who saved Hiera during Costobocs, PROBABLY NOT FROM SANCTUARY",191,Good,Dedication,Base,,,Standard,,Sacred Official
516,SB| Hierophant who saved Hiera during Costobocs,191,Good,Dedication,Base,,,Standard,,Sacred Official
517,Statue Base?,202,Approximate,Dedication,Base,,,Standard,,
518,Dedication Honoring Septimius Severus and Iulia Domna,197,Good,Dedication,Base,,,Standard,,Imperial Family
519,SB| Iulia Domna,197,Good,Dedication,Base,,,Standard,Public Organ(s),Imperial Family
520,"Kl. Themistokleia, daughter of daduch Klaudius Philippos, HI",180,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
521,"SB| Klaudia Menandra, d. of Klaudios Philippos",180,Good,Dedication,Base,,,Standard,Private,Hearth-Initiate
522,"SB| Nikostrate Menneou Berenikidou, HI",180,Approximate,Dedication,Base,,,Standard,Public Organ(s),Hearth-Initiate
523,"SB| Aelia Epilampsis, d. of Aelius Gelos of Phaleron, Priestess of D&K",180,Good,Dedication,Base,,,Standard,Private,Sacred Official
524,SB| Daughter of T. Flavius Leosthenes of Paiania,180,Approximate,Dedication,Base,,,Standard,Private,Hearth-Initiate
525,Dedicatory Base,180,Good,Dedication,Base,,,Standard,,
526,List of Men and Women,150,Unusable Dating,Other/Fragment,Stele,,,Standard,,
527,"Dedication by Neokleides, Victor in Eleusinia",150,Unusable Dating,Dedication,Base,,,Standard,Private,
528,Herm in honor of Iunios Agathopodos Marathonios,150,Unusable Dating,Dedication,Column/Herm,,,Standard,Public Organ(s),Other/Private
529,Herm honoring Demetrios Apolloniou Marathonios,150,Unusable Dating,Dedication,Column/Herm,,,Standard,Public Organ(s),Other/Private
530,"Relief dedicated by Alkamenes, Pyrphoros",150,Unusable Dating,Dedication,Relief,,,Standard,Private,
531,SB| Exegete of Eumolpidai,150,Unusable Dating,Dedication,Base,,,Standard,,Other/Private
532,Base for Dedication from Aparkhe,150,Unusable Dating,Dedication,Base,,,Standard,Roman/Imperial/Panhellenic,
533,SB| High-Priest,150,Unusable Dating,Dedication,Base,,,Standard,,Sacred Official
534,SB| [-]mmios,150,Unusable Dating,Dedication,Base,,,Standard,,
535,SB| Unknown Hearth Initiate,150,Unusable Dating,Dedication,Base,,,Standard,,Hearth-Initiate
536,SB| Lolliane d. of Glaukos,150,Unusable Dating,Dedication,Base,,,Standard,,Other/Private
537,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,
538,Statue Base?,150,Unusable Dating,Dedication,Base,,,Standard,,
539,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,Public Organ(s),Other/Private
540,SB| Unknown,150,,Dedication,Base,,,Standard,,
541,SB| Unknown,150,,Dedication,Base,,,Standard,,
542,SB| Unknown,150,,Dedication,Base,,,Standard,,
543,SB| Unknown Claudius,150,,Dedication,Base,,,Standard,,
544,SB| Unknown Exegete,150,Unusable Dating,Dedication,Base,,,Standard,,
545,SB| Unknown Exegete of the Eumolpidai,150,Unusable Dating,Dedication,Base,,,Standard,,Sacred Official
546,SB| Praxagoras of Melite,150,Unusable Dating,Dedication,Base,,,Standard,,Other/Private
547,Statue Base?,150,Unusable Dating,Dedication,Base,,,Standard,,
548,SB| Unknown,150,Unusable Dating,Dedication,Base,,,Standard,,Other/Private
549,SB| Unknown Priestess of D&K,150,Unusable Dating,Dedication,Base,,,Standard,,Sacred Official
550,SB| Unkown Exegete(?) of Eumolpidai,150,Unusable Dating,Dedication,Base,,,Standard,,
551,Large Monumenti n Honor of a Hearth-Initiate,150,Unusable Dating,Dedication,Building or Monument,,,Standard,Genos,Hearth-Initiate
